Brand,OS,Processor,RAM_Size,RAM_Type,Storage_Size,Storage_type,MRP
APPLE,Mac ,M2,8GB,Unified,256GB,SSD,121990.0
ASUS,Windows 10,Intel,8GB,DDR4,1TB,HDD,37990.0
ASUS,Windows 11,Intel,8GB,DDR4,256GB,SSD,27990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
DELL,Windows 11,AMD,8GB,DDR4,512GB,SSD,40190.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,34990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 10,Intel,16GB,LPDDR4X,1TB,SSD,94990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,69990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,59990.0
ASUS,Windows 11,Intel,16GB,DDR4,512GB,SSD,66990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,Intel,16GB,LPDDR4X,512GB,SSD,104990.0
DELL,Windows 11,Intel,8GB,DDR4,256GB,SSD,54900.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
Lenovo,Windows 11,AMD,16GB,DDR4,1TB,SSD,136990.0
DELL,Windows 11,AMD,8GB,DDR4,512GB,SSD,48184.0
ASUS,Windows 11,Intel,16GB,DDR4,512GB,SSD,74990.0
acer,Windows 11,Intel,8GB,DDR4,512GB,SSD,60990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,49990.0
DELL,Windows 11,Intel,8GB,DDR4,512GB,SSD,67990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
Lenovo,Windows 10,Intel,8GB,DDR4,512GB,SSD,58000.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,256GB,SSD,29990.0
ASUS,Windows 11,AMD,16GB,LPDDR5,1TB,SSD,114990.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,33990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
ASUS,Windows 11,AMD,16GB,DDR4,512GB,SSD,64990.0
Lenovo,Windows 11,Intel,16GB,DDR4,512GB,SSD,79990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Infinix,Windows 11,Intel,8GB,LPDDR4X,256GB,SSD,28990.0
ASUS,Windows 11,AMD,8GB,DDR4,512GB,SSD,56990.0
HP,Windows 11,AMD,16GB,DDR4,512GB,SSD,81990.0
MSI,Windows 10,Intel,16GB,DDR4,1TB,SSD,129990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
DELL,Windows 10,AMD,8GB,DDR4,1TB,HDD,38990.0
HP,Windows 10,AMD,16GB,DDR4,1TB,HDD,79990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
